orig_index,id,path,label,status,reason,width,height
0,000001.jpg,/data/meteorite-identification/train_images/000001.jpg,1,keep,,365,275
1,000002.jpg,/data/meteorite-identification/train_images/000002.jpg,1,keep,,1080,1440
2,000003.jpg,/data/meteorite-identification/train_images/000003.jpg,0,keep,,1920,1272
3,000004.jpg,/data/meteorite-identification/train_images/000004.jpg,1,keep,,640,426
4,000005.jpg,/data/meteorite-identification/train_images/000005.jpg,1,keep,,800,800
5,000006.jpg,/data/meteorite-identification/train_images/000006.jpg,0,keep,,344,304
6,000007.jpg,/data/meteorite-identification/train_images/000007.jpg,1,keep,,500,707
7,000008.jpg,/data/meteorite-identification/train_images/000008.jpg,1,keep,,709,635
8,000009.jpg,/data/meteorite-identification/train_images/000009.jpg,1,keep,,1080,1920
9,000010.jpg,/data/meteorite-identification/train_images/000010.jpg,1,keep,,1080,1440
10,000011.jpg,/data/meteorite-identification/train_images/000011.jpg,0,keep,,1024,680
11,000012.jpg,/data/meteorite-identification/train_images/000012.jpg,0,keep,,1024,656
12,000013.jpg,/data/meteorite-identification/train_images/000013.jpg,0,keep,,800,800
13,000014.jpg,/data/meteorite-identification/train_images/000014.jpg,1,keep,,3264,2448
14,000015.jpg,/data/meteorite-identification/train_images/000015.jpg,0,keep,,800,600
15,000016.jpg,/data/meteorite-identification/train_images/000016.jpg,1,keep,,800,600
16,000017.jpg,/data/meteorite-identification/train_images/000017.jpg,1,keep,,800,800
17,000018.jpg,/data/meteorite-identification/train_images/000018.jpg,1,keep,,640,480
18,000019.jpg,/data/meteorite-identification/train_images/000019.jpg,1,keep,,1200,1200
19,000020.jpg,/data/meteorite-identification/train_images/000020.jpg,0,keep,,1920,1280
20,000021.jpg,/data/meteorite-identification/train_images/000021.jpg,0,keep,,257,170
21,000022.jpg,/data/meteorite-identification/train_images/000022.jpg,1,keep,,800,800
22,000023.jpg,/data/meteorite-identification/train_images/000023.jpg,1,keep,,800,614
23,000024.jpg,/data/meteorite-identification/train_images/000024.jpg,0,keep,,1024,680
24,000025.jpg,/data/meteorite-identification/train_images/000025.jpg,1,keep,,1080,1440
25,000026.jpg,/data/meteorite-identification/train_images/000026.jpg,1,keep,,1200,1200
26,000027.jpg,/data/meteorite-identification/train_images/000027.jpg,1,keep,,1080,1440
27,000028.jpg,/data/meteorite-identification/train_images/000028.jpg,1,keep,,1440,1080
28,000029.jpg,/data/meteorite-identification/train_images/000029.jpg,1,keep,,3264,2448
29,000030.jpg,/data/meteorite-identification/train_images/000030.jpg,0,keep,,1920,1176
30,000031.jpg,/data/meteorite-identification/train_images/000031.jpg,1,keep,,1080,1440
31,000032.jpg,/data/meteorite-identification/train_images/000032.jpg,1,keep,,360,270
32,000033.jpg,/data/meteorite-identification/train_images/000033.jpg,0,keep,,946,634
33,000034.jpg,/data/meteorite-identification/train_images/000034.jpg,0,keep,,800,533
34,000035.jpg,/data/meteorite-identification/train_images/000035.jpg,0,keep,,1920,1272
35,000036.jpg,/data/meteorite-identification/train_images/000036.jpg,0,keep,,1920,1272
36,000037.jpg,/data/meteorite-identification/train_images/000037.jpg,1,keep,,768,721
37,000038.jpg,/data/meteorite-identification/train_images/000038.jpg,1,keep,,800,800
38,000039.jpg,/data/meteorite-identification/train_images/000039.jpg,1,keep,,450,380
39,000040.jpg,/data/meteorite-identification/train_images/000040.jpg,1,keep,,600,338
40,000041.jpg,/data/meteorite-identification/train_images/000041.jpg,0,keep,,176,169
41,000042.jpg,/data/meteorite-identification/train_images/000042.jpg,0,keep,,1920,1272
42,000043.jpg,/data/meteorite-identification/train_images/000043.jpg,0,keep,,1024,680
43,000044.jpg,/data/meteorite-identification/train_images/000044.jpg,1,keep,,526,381
44,000045.jpg,/data/meteorite-identification/train_images/000045.jpg,1,keep,,1080,1440
45,000046.jpg,/data/meteorite-identification/train_images/000046.jpg,1,keep,,792,683
46,000047.jpg,/data/meteorite-identification/train_images/000047.jpg,0,keep,,1920,1280
47,000048.jpg,/data/meteorite-identification/train_images/000048.jpg,0,keep,,612,408
48,000049.jpg,/data/meteorite-identification/train_images/000049.jpg,0,keep,,1024,680
49,000050.jpg,/data/meteorite-identification/train_images/000050.jpg,0,keep,,1920,1272
50,000051.jpg,/data/meteorite-identification/train_images/000051.jpg,0,keep,,1920,1272
51,000052.jpg,/data/meteorite-identification/train_images/000052.jpg,0,keep,,474,382
52,000053.jpg,/data/meteorite-identification/train_images/000053.jpg,0,keep,,1496,1120
53,000054.jpg,/data/meteorite-identification/train_images/000054.jpg,0,keep,,474,355
54,000055.jpg,/data/meteorite-identification/train_images/000055.jpg,1,keep,,1440,1080
55,000056.jpeg,/data/meteorite-identification/train_images/000056.jpeg,0,keep,,800,622
56,000057.jpg,/data/meteorite-identification/train_images/000057.jpg,1,keep,,3264,2448
57,000058.jpg,/data/meteorite-identification/train_images/000058.jpg,1,keep,,1080,1440
58,000059.jpg,/data/meteorite-identification/train_images/000059.jpg,1,keep,,1080,1440
59,000060.jpg,/data/meteorite-identification/train_images/000060.jpg,0,keep,,346,222
60,000061.jpg,/data/meteorite-identification/train_images/000061.jpg,0,keep,,1024,680
61,000062.jpg,/data/meteorite-identification/train_images/000062.jpg,0,keep,,1920,1272
62,000063.jpeg,/data/meteorite-identification/train_images/000063.jpeg,0,keep,,275,183
63,000064.jpg,/data/meteorite-identification/train_images/000064.jpg,1,keep,,640,480
64,000065.jpg,/data/meteorite-identification/train_images/000065.jpg,0,keep,,1024,680
65,000066.jpg,/data/meteorite-identification/train_images/000066.jpg,1,drop,too_large(>4096),4896,3672
66,000067.jpg,/data/meteorite-identification/train_images/000067.jpg,1,keep,,800,800
67,000068.jpg,/data/meteorite-identification/train_images/000068.jpg,0,keep,,1024,680
68,000069.jpg,/data/meteorite-identification/train_images/000069.jpg,1,keep,,1080,1440
69,000070.jpg,/data/meteorite-identification/train_images/000070.jpg,0,keep,,1920,1272
70,000071.jpg,/data/meteorite-identification/train_images/000071.jpg,1,keep,,756,800
71,000072.jpg,/data/meteorite-identification/train_images/000072.jpg,1,keep,,800,587
72,000073.jpg,/data/meteorite-identification/train_images/000073.jpg,0,keep,,1200,1087
73,000074.jpg,/data/meteorite-identification/train_images/000074.jpg,0,keep,,474,361
74,000075.jpg,/data/meteorite-identification/train_images/000075.jpg,1,keep,,800,800
75,000076.jpg,/data/meteorite-identification/train_images/000076.jpg,0,keep,,1920,1272
76,000077.jpg,/data/meteorite-identification/train_images/000077.jpg,1,keep,,750,562
77,000078.jpg,/data/meteorite-identification/train_images/000078.jpg,0,keep,,700,657
78,000079.jpg,/data/meteorite-identification/train_images/000079.jpg,0,keep,,1920,1280
79,000080.jpg,/data/meteorite-identification/train_images/000080.jpg,0,keep,,1920,1272
80,000081.jpg,/data/meteorite-identification/train_images/000081.jpg,1,keep,,800,580
81,000082.jpg,/data/meteorite-identification/train_images/000082.jpg,1,keep,,800,600
82,000083.jpg,/data/meteorite-identification/train_images/000083.jpg,0,keep,,1920,1272
83,000084.jpg,/data/meteorite-identification/train_images/000084.jpg,1,keep,,796,557
84,000085.jpg,/data/meteorite-identification/train_images/000085.jpg,1,keep,,650,436
85,000086.jpg,/data/meteorite-identification/train_images/000086.jpg,1,keep,,1200,1200
86,000087.jpg,/data/meteorite-identification/train_images/000087.jpg,0,keep,,1920,1272
87,000088.jpg,/data/meteorite-identification/train_images/000088.jpg,1,keep,,600,682
88,000089.jpg,/data/meteorite-identification/train_images/000089.jpg,1,keep,,365,275
89,000090.jpg,/data/meteorite-identification/train_images/000090.jpg,1,keep,,640,480
90,000091.jpg,/data/meteorite-identification/train_images/000091.jpg,0,keep,,380,285
91,000092.jpg,/data/meteorite-identification/train_images/000092.jpg,1,keep,,800,548
92,000093.jpg,/data/meteorite-identification/train_images/000093.jpg,1,drop,too_large(>4096),4896,3672
93,000094.jpg,/data/meteorite-identification/train_images/000094.jpg,0,keep,,700,542
94,000095.jpg,/data/meteorite-identification/train_images/000095.jpg,1,keep,,800,800
95,000096.jpg,/data/meteorite-identification/train_images/000096.jpg,1,drop,too_large(>4096),4896,3672
96,000097.jpg,/data/meteorite-identification/train_images/000097.jpg,1,keep,,400,300
97,000098.jpg,/data/meteorite-identification/train_images/000098.jpg,0,keep,,1920,1272
98,000099.jpg,/data/meteorite-identification/train_images/000099.jpg,0,keep,,612,408
99,000100.jpg,/data/meteorite-identification/train_images/000100.jpg,1,keep,,800,800
100,000101.png,/data/meteorite-identification/train_images/000101.png,0,keep,,744,600
101,000102.jpg,/data/meteorite-identification/train_images/000102.jpg,1,keep,,800,800
102,000103.jpg,/data/meteorite-identification/train_images/000103.jpg,1,keep,,800,800
103,000104.jpg,/data/meteorite-identification/train_images/000104.jpg,0,keep,,1920,1272
104,000105.jpg,/data/meteorite-identification/train_images/000105.jpg,1,keep,,1080,1440
105,000106.jpg,/data/meteorite-identification/train_images/000106.jpg,0,keep,,911,622
106,000107.jpg,/data/meteorite-identification/train_images/000107.jpg,0,keep,,3024,3024
107,000108.jpg,/data/meteorite-identification/train_images/000108.jpg,1,keep,,1080,1440
108,000109.jpg,/data/meteorite-identification/train_images/000109.jpg,1,keep,,398,320
